model,se_type,term,estimate,std_error,statistic,p_value,pr,conf_low,conf_high
M2,HC0,(Intercept),-1.1680757584066772,0.03985422252733079,-29.308707693536036,8.033115640594257e-189,0.3109647372105161,0.2875984523063344,0.33622944425795
M2,HC0,raceBlack,0.10854379053299795,0.05143743969491096,2.110209823366012,0.03484028677441012,1.1146537187500731,1.0077563344500404,1.232890203961265
M2,HC0,raceBrown,0.0685650851571865,0.03445877328357654,1.9897715044274493,0.046616111794345105,1.0709703269547437,1.0010264159260271,1.1458013724408138
M2,HC0,raceYellow,0.3148915669838383,0.15504769891149947,2.0309335075238812,0.04226174016174491,1.3701107376622568,1.0110587782954161,1.8566709213704313
M2,HC0,raceIndigenous,0.43773488507585956,0.07501550110783908,5.835259094604868,5.370704350261189e-9,1.5491941384849242,1.3373693368010768,1.7945696919122855
M2,HC0,regionSouth,-0.12316286811985906,0.048930462809709994,-2.517100003710123,0.011832523909628702,0.884119655928003,0.8032682386082004,0.9731090169239395
M2,HC0,regionNortheast,0.04748828642564046,0.0338556229578817,1.4026705839889155,0.16071509301193437,1.0486339177979724,0.981308165625455,1.1205787662588678
M2,HC0,regionNorth,0.33390993776049427,0.038902812497175976,8.583182457174102,9.2283807828301e-18,1.3964173734350838,1.293899368481541,1.5070580667488418
M2,HC0,regionCentral-West,0.11803113013308981,0.051123456633067235,2.3087470587179726,0.020957621342999118,1.1252791409115221,1.0179890433289815,1.2438769879386222
M2,HC0,age_group<20,0.2579705666588893,0.03152792715243911,8.182287576712186,2.7850542187803845e-16,1.2943007224689276,1.2167408253851286,1.3768045957144088
M2,HC0,age_group>=35,-0.12385644933107978,0.037315484522400334,-3.319170336827042,9.028533801923966e-4,0.8835066597520692,0.8211949043403673,0.9505465921677513
M2,HC0,year2020,-0.016475676137774793,0.03867896623833936,-0.42595957803659645,0.6701373006816562,0.983659305493107,0.9118439144741747,1.061130763636396
M2,HC0,year2021,-0.02335346294296813,0.03924277938716595,-0.5951021642112765,0.5517751820880537,0.9769171187401764,0.90459376859081,1.0550228069493952
M2,HC0,year2022,0.03439119532814867,0.038416318546034264,0.8952236088665734,0.3706675666921143,1.0349894105663673,0.959920520568525,1.115928930605716
M2,HC0,year2023,-0.1373382828432903,0.04072515362092788,-3.37232080501508,7.453757259629147e-4,0.8716753034512029,0.8048015256578713,0.9441058576841621
M2,HC0,education<=7 years,0.23021062746150098,0.030488439176115902,7.55075148752921,4.327538935598229e-14,1.2588651335747945,1.1858422560068296,1.3363846805954587
M2,HC0,education>=12 years,-0.2877363456728196,0.04375493010359997,-6.576089711297375,4.829812123429603e-11,0.7499592961887944,0.6883237336139832,0.8171139806366341
M2,HC1,(Intercept),-1.1680757584066772,0.03988429651714335,-29.286608023902506,1.536041246157056e-188,0.3109647372105161,0.2875815003094246,0.33624926389340604
M2,HC1,raceBlack,0.10854379053299795,0.05147625437850118,2.1086186600696175,0.03497751088737678,1.1146537187500731,1.007679670509465,1.23298400184575
M2,HC1,raceBrown,0.0685650851571865,0.03448477586826739,1.9882711553384207,0.04678170911882475,1.0709703269547437,1.0009753998487076,1.1458597697714756
